ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
1151184;;Coopérative;49.233612, -0.413559;;;;1;;;2
COM_ccgi01_1;;Civisme;49.182587, -0.274866;;;;1;;;2
COM_bctre01;;Bourguébus Centre;49.121716, -0.298396;;;;1;;;2
COM_mape02;;Maison du Peuple;49.177307, -0.329071;;;;1;;;2
COM_msol02;;Soliers Mairie;49.13494, -0.295448;;;;1;;;2
COM_degm03_1;;Grandes Murailles;49.18463, -0.27042;;;;1;;;2
COM_clsm01_1;;Clos Saint-Marc;49.211433, -0.373215;;;;1;;;2
COM_repa11;;Résidence du Parc;49.17959, -0.317327;;;;1;;;2
COM_ltou02;;Les Tourelles;49.12414, -0.299636;;;;1;;;2
COM_pogr02;;Pommier Gris;49.16007, -0.332908;;;;1;;;2
COM_clda02_1;;Clos de l'Avonde;49.227596, -0.385292;;;;1;;;2
1150076;;Bretteville Église;49.16658, -0.413477;;;;1;;;2
COM_5con01_1;;5 Continents;49.202118, -0.382226;;;;1;;;2
COM_lumi;;Lumière;49.158173, -0.308917;;;;1;;;2
COM_fadr01;;Fac de Droit;49.19023, -0.366787;;;;1;;;2
COM_abda11;;Abbaye aux Dames;49.187397, -0.354569;;;;1;;;2
COM_edca01;;Cambes Ecole;49.23126, -0.383889;;;;1;;;2
COM_newt02;;Newton;49.1524, -0.301422;;;;1;;;2
COM_rect02;;Rectorat;49.17753, -0.381521;;;;1;;;2
COM_19ma02;;19 Mars;49.165115, -0.324656;;;;1;;;2
COM_plvi01_1;;Place Villers;49.178757, -0.378872;;;;1;;;2
COM_niep02;;Niepce;49.15479, -0.300395;;;;1;;;2
COM_vime02_1;;Métiers;49.205242, -0.375904;;;;1;;;2
COM_jeme02_1;;Jean Mermoz;49.168774, -0.329926;;;;1;;;2
COM_fove02;;Fontaine Venoise;49.175037, -0.400799;;;;1;;;2
COM_stcl31;;Hérouville Saint-Clair;49.20376, -0.330534;;;;1;;;2
COM_rocza01;;Rocquancourt ZA;49.092564, -0.314793;;;;1;;;2
COM_vafo02_1;;Foyer;49.19545, -0.34534;;;;1;;;2
